Min
ColeAldrich,21.00,2.30,0.60,0.70,0.10,0.10,0.05,0.05
JustinPatton,1.00,3.70,2.00,0.00,0.00,1.00,0.00,0.00
Karl-AnthonyTowns,82.00,35.60,21.30,12.40,2.40,0.78,1.41,1.94
GorguiDieng,79.00,16.90,5.90,4.60,0.90,0.57,0.49,0.75
NemanjaBjelica,67.00,20.50,6.80,4.10,1.30,0.75,0.24,0.78
TajGibson,82.00,33.20,12.20,7.10,1.20,0.76,0.72,1.09
AaronBrooks,32.00,5.90,2.30,0.50,0.60,0.19,0.00,0.34
TyusJones,82.00,17.90,5.10,1.60,2.80,1.16,0.06,0.72
DerrickRose,9.00,12.40,5.80,0.70,1.20,0.44,0.00,0.78
JeffTeague,70.00,33.00,14.20,3.00,7.00,1.46,0.33,2.53
AnthonyBrown,1.00,3.70,3.00,0.00,1.00,0.00,0.00,0.00
ShabazzMuhammad,32.00,9.40,3.80,1.40,0.20,0.16,0.06,0.16
AndrewWiggins,82.00,36.30,17.70,4.40,2.00,1.11,0.62,1.68
JimmyButler,59.00,36.70,22.20,5.30,4.90,1.97,0.41,1.83
MarcusGeorges-Hunt,42.00,5.30,1.40,0.40,0.20,0.14,0.00,0.07
JamalCrawford,80.00,20.70,10.30,1.20,2.30,0.50,0.11,1.19

Uta
TonyBradley,9.00,3.20,0.90,1.20,0.10,0.00,0.00,0.00
RudyGobert,56.00,32.40,13.50,10.70,1.40,0.79,2.30,1.91
DavidStockton,3.00,3.10,3.30,0.00,0.00,0.00,0.00,0.33
GeorgesNiang,9.00,3.50,1.00,1.00,0.30,0.22,0.00,0.33
EkpeUdoh,63.00,12.90,2.60,2.40,0.80,0.68,1.17,0.32
JonasJerebko,74.00,15.30,5.80,3.30,0.60,0.32,0.16,0.36
DerrickFavors,77.00,28.00,12.30,7.20,1.30,0.70,1.06,1.14
NateWolters,5.00,3.80,0.40,0.40,0.20,0.00,0.00,0.00
NazMitrou-Long,1.00,0.50,3.00,0.00,0.00,0.00,0.00,0.00
RaulNeto,41.00,12.20,4.50,1.20,1.80,0.32,0.10,0.88
DanteExum,14.00,16.80,8.10,1.90,3.10,0.57,0.21,1.43
JaeCrowder,27.00,27.60,11.80,3.80,1.50,0.85,0.33,1.19
RickyRubio,77.00,29.30,13.10,4.60,5.30,1.57,0.14,2.69
ErikMcCree,4.00,1.90,0.00,0.30,0.00,0.25,0.00,0.25
RoyceO'Neale,69.00,16.70,5.00,3.40,1.40,0.52,0.23,0.80
JoeJohnson,32.00,21.90,7.30,3.30,1.40,0.38,0.19,0.97
ThaboSefolosha,38.00,21.20,8.20,4.20,0.90,1.37,0.32,0.79
JoeIngles,82.00,31.40,11.50,4.20,4.80,1.10,0.24,1.94
AlecBurks,64.00,16.50,7.70,3.00,1.00,0.58,0.13,0.94
RodneyHood,39.00,27.80,16.80,2.80,1.70,0.77,0.18,1.62
DonovanMitchell,79.00,33.40,20.50,3.70,3.70,1.49,0.34,2.73

Chi
OmerAsik,4.00,15.30,1.00,2.50,0.30,0.25,0.50,1.00
CristianoFelicio,55.00,17.80,5.60,4.20,1.00,0.29,0.20,0.98
RobinLopez,64.00,26.40,11.80,4.50,1.90,0.22,0.83,1.67
BobbyPortis,73.00,22.50,13.20,6.80,1.70,0.67,0.32,1.41
LauriMarkkanen,68.00,29.70,15.20,7.50,1.20,0.57,0.59,1.22
NikolaMirotic,25.00,24.90,16.80,6.40,1.60,0.60,0.52,1.24
RyanArcidiacono,24.00,12.70,2.00,1.00,1.50,0.54,0.00,0.54
KayFelder,14.00,9.60,3.90,1.00,1.40,0.21,0.07,1.07
NoahVonleh,21.00,19.00,6.90,6.90,1.00,0.62,0.29,0.76
DavidNwaba,70.00,23.50,7.90,4.70,1.50,0.84,0.41,1.10
JerianGrant,74.00,22.80,8.40,2.30,4.60,0.85,0.11,1.20
